time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2348,0,0,0,0,0,12.84,1.79,0
20050101:0048,0,0,0,0,0,12.62,1.66,0
20050101:0148,0,0,3.91,0.93,3.9,12.64,1.59,0
20050101:0248,30.86,0,47.02,5.37,15.88,16.75,1.31,0
20050101:0348,166.35,46.6,157.66,12.2,26.78,20.32,2.14,0
20050101:0448,62.94,0,89.53,4.67,35.92,22.22,2.97,0
20050101:0548,129.46,0,169.6,6.65,42.27,23.66,3.24,0
20050101:0648,142.48,0,186.26,6.51,44.64,24.31,2.97,0
20050101:0748,253.31,41.5,275.96,11.32,42.42,24.94,2.76,0
20050101:0848,160.79,11.85,193.79,10.16,36.19,25.32,2.48,0
20050101:0948,299.99,157.89,210.44,16.27,27.13,25.22,2.21,0
20050101:1048,31.89,0,49.82,5.61,16.28,24.74,1.79,0
20050101:1148,14.04,13.27,14.47,2.22,4.32,23.2,0.83,0
20050101:1248,0,0,0,0,0,22.41,0.34,0
20050101:1348,0,0,0,0,0,20.32,0.76,0
20050101:1448,0,0,0,0,0,19.21,0.9,0
20050101:1548,0,0,0,0,0,18.54,0.9,0
20050101:1648,0,0,0,0,0,18.01,0.9,0
20050101:1748,0,0,0,0,0,17.56,0.9,0
20050101:1848,0,0,0,0,0,16.61,1.1,0
20050101:1948,0,0,0,0,0,16.34,0.97,0
20050101:2048,0,0,0,0,0,16.18,0.9,0
20050101:2148,0,0,0,0,0,16.22,0.9,0
20050101:2248,0,0,0,0,0,16.72,0.76,0
20050101:2348,0,0,0,0,0,17.07,0.55,0
20050102:0048,0,0,0,0,0,17.37,0.28,0
20050102:0148,0,0,3.51,0.84,3.85,17.15,0.28,0
20050102:0248,64.78,18.31,68.61,7.71,15.85,18.4,0.28,0
20050102:0348,508.67,399.7,233.11,20.28,26.77,20.28,0.62,0
20050102:0448,292.17,100.54,257.85,14.58,35.93,21.82,1.31,0
20050102:0548,600.16,441.14,324.9,19.31,42.32,23.04,1.59,0
20050102:0648,647.23,528.64,320.06,19.38,44.72,23.1,0.83,0
20050102:0748,621.13,488.1,319.87,19.86,42.54,23.82,1.03,0
20050102:0848,717.06,724.28,226.57,24.3,36.32,24.09,1.03,0
20050102:0948,623.77,576.32,230.67,23.03,27.26,24,0.97,0
20050102:1048,528.94,484.91,180.1,17.22,16.41,22.65,1.1,0
20050102:1148,226.77,218.98,62.1,4.34,4.45,20.36,0.55,0
20050102:1248,0,0,0,0,0,18.41,0.41,0
20050102:1348,0,0,0,0,0,17.8,0.76,0
20050102:1448,0,0,0,0,0,17.35,0.76,0
20050102:1548,0,0,0,0,0,16.71,0.83,0
20050102:1648,0,0,0,0,0,16.03,0.9,0
20050102:1748,0,0,0,0,0,15.84,0.83,0
20050102:1848,0,0,0,0,0,16,0.48,0
20050102:1948,0,0,0,0,0,15.86,0.41,0
20050102:2048,0,0,0,0,0,15.66,0.21,0
20050102:2148,0,0,0,0,0,15.53,0,0
20050102:2248,0,0,0,0,0,15.33,0.48,0
20050102:2348,0,0,0,0,0,14.53,0.69,0
20050103:0048,0,0,0,0,0,14.01,0.76,0
20050103:0148,1.45,0,7.4,1.77,3.8,14,0.76,0
20050103:0248,488.98,433.05,163.65,15.71,15.81,16.56,0.48,0
20050103:0348,626.67,564.26,219.21,22.38,26.75,18.45,1.1,0
20050103:0448,735.07,722.21,219.38,24.16,35.95,19.55,1.52,0
20050103:0548,774.54,798.27,209.36,22.82,42.37,20.9,1.72,0
20050103:0648,758.93,740.59,245.15,21.28,44.82,22.53,2.21,0
20050103:0748,303.16,72.31,299.2,12.51,42.66,20.78,2.21,0
20050103:0848,556.93,393.8,300.75,20.45,36.46,21.4,1.72,0
20050103:0948,701.88,688.8,205.14,24.24,27.4,21.44,1.86,0
20050103:1048,568.05,526.66,179.44,17.74,16.55,20.44,1.52,0
20050103:1148,247.69,237.67,66.04,4.51,4.59,19.73,1.31,0
20050103:1248,0,0,0,0,0,18.43,1.17,0
20050103:1348,0,0,0,0,0,17.72,1.17,0
20050103:1448,0,0,0,0,0,17.09,1.31,0
20050103:1548,0,0,0,0,0,16.75,1.31,0
20050103:1648,0,0,0,0,0,16.57,1.24,0
20050103:1748,0,0,0,0,0,16.05,1.38,0
20050103:1848,0,0,0,0,0,16.42,1.59,0
20050103:1948,0,0,0,0,0,16.03,2,0
20050103:2048,0,0,0,0,0,15.66,2.28,0
20050103:2148,0,0,0,0,0,15.32,2.41,0
20050103:2248,0,0,0,0,0,14.8,2.41,0
20050103:2348,0,0,0,0,0,14.3,2.48,0
20050104:0048,0,0,0,0,0,14.09,2.48,0
20050104:0148,1.45,0,7.4,1.78,3.75,14.09,2.41,0
20050104:0248,445.49,360.3,159.04,14.85,15.78,14.82,3.45,0
20050104:0348,613.11,508.83,226.9,21.72,26.75,16.53,3.03,0
20050104:0448,723.15,667.32,238.3,23.6,35.97,18.74,2.34,0
20050104:0548,771.93,782.51,217,22.67,42.43,20.43,1.79,0
20050104:0648,773.42,815.77,210.69,21.84,44.92,21.71,1.17,0
