time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070101:0000,16.62,59.83,0,0,0,306.43,1.37,322,90759
20070101:0100,16.93,57.84,0,0,0,304.52,1.36,327,90795
20070101:0200,17.25,55.86,23,0,23,302.6,1.35,332,90911
20070101:0300,17.56,53.87,238,537.08,91,300.69,1.34,342,90982
20070101:0400,17.88,51.89,442,703.49,125,298.78,1.33,339,91045
20070101:0500,18.19,49.9,607,789.18,144,296.86,1.32,332,91045
20070101:0600,18.51,47.92,714,832.53,154,294.95,1.31,318,90973
20070101:0700,18.82,45.93,747,829.72,164,293.03,1.3,326,90857
20070101:0800,22.15,34.55,712,815.27,162,313.6,2.07,322,90759
20070101:0900,22.27,33.8,607,772.23,151,315.6,2.21,324,90706
20070101:1000,21.99,34,441,677.63,132,316.2,2.21,325,90741
20070101:1100,21.26,35.25,246,567.25,87,315.2,2.21,328,90714
20070101:1200,19.78,40.1,40,199.03,25,312.6,1.79,332,90732
20070101:1300,18.11,45.25,0,0,0,307.8,1.72,337,90786
20070101:1400,16.62,52.4,0,0,0,304.2,1.59,343,90875
20070101:1500,15.02,64.2,0,0,0,300.6,1.38,344,90929
20070101:1600,14.27,64.8,0,0,0,298.2,1.31,343,90982
20070101:1700,13.82,64.9,0,0,0,296.2,1.31,342,90982
20070101:1800,13.31,66.2,0,0,0,293.6,1.31,344,90929
20070101:1900,12.46,69.75,0,0,0,291.6,1.45,359,90893
20070101:2000,12.06,70.9,0,0,0,289.8,1.45,8,90866
20070101:2100,11.55,72.55,0,0,0,288.8,1.52,17,90831
20070101:2200,11,74.3,0,0,0,287.2,1.59,22,90839
20070101:2300,10.52,75.55,0,0,0,286.2,1.66,26,90857
20070102:0000,10.16,76.25,0,0,0,285.4,1.72,28,90902
20070102:0100,10.02,76.35,0,0,0,284.6,1.66,31,90964
20070102:0200,10.3,75.8,22,0,22,283.6,1.45,40,91063
20070102:0300,13.95,69.05,237,538.36,90,286.8,0.9,42,91107
20070102:0400,17.78,48.85,442,703.92,125,293.2,1.24,32,91179
20070102:0500,19.53,41.45,607,788.97,144,301,1.79,360,91179
20070102:0600,20.67,38.35,715,831.78,155,307.8,2.21,344,91116
20070102:0700,21.27,36.05,749,829.9,165,311.2,2.55,333,91009
20070102:0800,21.7,35.2,713,816.46,161,314,2.62,331,90920
20070102:0900,21.78,35,619,818.83,134,315.6,2.69,333,90839
20070102:1000,21.45,35.75,444,678.93,133,315.6,2.76,337,90822
20070102:1100,20.61,37.85,242,520.3,95,314,2.62,343,90804
20070102:1200,19.19,42.85,43,218.98,26,310.6,2,348,90839
20070102:1300,17.63,48.05,0,0,0,306.2,1.86,353,90884
20070102:1400,16.28,54.9,0,0,0,302.6,1.52,357,90956
20070102:1500,14.89,65.75,0,0,0,299.8,1.24,359,90991
20070102:1600,15.1,59.95,0,0,0,297.4,0.9,7,91000
20070102:1700,15.5,56.35,0,0,0,295.4,0.62,19,91018
20070102:1800,15.1,57.8,0,0,0,293.4,0.48,36,90938
20070102:1900,14.99,58.25,0,0,0,293.4,0.48,12,90920
20070102:2000,14.74,59.15,0,0,0,292.6,0.48,26,90884
20070102:2100,14.46,60.1,0,0,0,291.8,0.55,36,90839
20070102:2200,14.21,60.85,0,0,0,291.2,0.62,48,90857
20070102:2300,13.96,61.6,0,0,0,290.2,0.62,63,90848
20070103:0000,13.76,62.15,0,0,0,290,0.62,82,90866
20070103:0100,13.71,62.6,0,0,0,289.4,0.62,97,90911
20070103:0200,13.61,63,22,0,22,289,0.62,109,90938
20070103:0300,13.76,81.9,237,535.81,91,292.4,0.28,119,91018
20070103:0400,18.31,51.6,442,704.21,125,299.2,0.28,113,91081
20070103:0500,19.65,48.15,601,759.68,155,307,0.34,275,91090
20070103:0600,20.75,45.3,716,832.4,155,312.8,0.97,277,91027
20070103:0700,21.61,41.2,754,845.58,158,314.6,1.52,304,90929
20070103:0800,22.27,39.4,707,786.55,174,318,1.86,307,90839
20070103:0900,22.54,38.3,614,789.29,145,319.8,2,312,90759
20070103:1000,22.37,38.15,446,680.11,133,320.4,2.14,318,90750
20070103:1100,21.63,39.35,244,523.15,95,318.8,2.21,326,90732
20070103:1200,20.07,44.65,45,225.16,27,315.4,1.86,334,90741
20070103:1300,18.25,50.5,0,0,0,310.4,1.86,344,90813
20070103:1400,16.84,56.6,0,0,0,306.2,1.72,353,90875
20070103:1500,15.36,65.25,0,0,0,302.6,1.59,1,90938
20070103:1600,14,73.55,0,0,0,299.4,1.45,5,91000
20070103:1700,13.73,72.2,0,0,0,297.2,1.17,8,90973
20070103:1800,14.14,68.7,0,0,0,295.6,1.03,8,90947
20070103:1900,13.36,72.65,0,0,0,295.4,1.24,18,90884
20070103:2000,12.43,76.7,0,0,0,293.4,1.38,28,90822
20070103:2100,11.61,80,0,0,0,291.4,1.52,37,90777
20070103:2200,10.85,83,0,0,0,289.4,1.59,46,90813
20070103:2300,10.18,85.6,0,0,0,287.2,1.72,50,90822
20070104:0000,9.66,87.4,0,0,0,285.8,1.72,54,90822
20070104:0100,9.49,87.85,0,0,0,284,1.66,61,90848
20070104:0200,9.69,87.65,22,0,22,282.6,1.45,72,90920
20070104:0300,13.67,77.9,236,536.77,90,285.2,0.9,81,91000
20070104:0400,17.48,58.4,441,702.14,125,292.4,1.03,85,91027
20070104:0500,19.48,48.55,601,759.25,155,301.2,0.28,119,91027
20070104:0600,21.01,42.7,716,832.9,154,308.2,0.76,255,90964
20070104:0700,21.95,38.9,747,815.77,171,313,1.31,303,90866
20070104:0800,22.67,37.75,709,787.6,174,316.6,1.72,310,90768
20070104:0900,22.92,37.8,617,790.04,146,319.6,2,317,90697
20070104:1000,22.69,38.85,451,694.17,130,320,1.93,324,90688
20070104:1100,22,40.8,248,532.82,95,319.4,1.93,330,90679
20070104:1200,20.52,46.65,42,170.12,28,316,1.59,340,90679
20070104:1300,18.57,53.45,0,0,0,311.4,1.66,354,90723
20070104:1400,16.9,60.5,0,0,0,307,1.66,8,90786
20070104:1500,15.35,68.3,0,0,0,303.8,1.66,15,90857
20070104:1600,14.02,74.95,0,0,0,300.8,1.66,20,90884
20070104:1700,13.08,78.45,0,0,0,299,1.59,24,90893
20070104:1800,12.46,79.75,0,0,0,297.6,1.59,33,90857
